code,date,Year,Mes,hosp_covid,uso_uci,ocup_hosp,deaths_covid
MS,2021-05-03,2021,5,238.0,648.0,328.0,2.0
NM,2021-05-02,2021,5,160.0,290.0,206.0,1.0
ND,2021-04-30,2021,4,120.0,180.0,140.0,0.0
WV,2021-04-30,2021,4,263.0,628.0,352.0,3.0
DC,2021-04-29,2021,4,160.0,299.0,205.0,2.0
IA,2021-04-27,2021,4,200.0,451.0,239.0,1.0
SD,2021-04-24,2021,4,99.0,154.0,130.0,0.0
NM,2021-04-23,2021,4,129.0,332.0,167.0,0.0
HI,2021-04-22,2021,4,46.0,232.0,54.0,0.0
AK,2021-04-21,2021,4,47.0,131.0,60.0,0.0
WY,2021-04-20,2021,4,23.0,41.0,28.0,0.0
NV,2021-04-19,2021,4,351.0,588.0,429.0,4.0
RI,2021-04-19,2021,4,193.0,224.0,221.0,2.0
DE,2021-04-18,2021,4,214.0,277.0,242.0,0.0
IA,2021-04-17,2021,4,224.0,458.0,274.0,2.0
MT,2021-04-17,2021,4,59.0,152.0,70.0,1.0
MA,2021-04-15,2021,4,627.0,1064.0,799.0,7.0
DE,2021-04-14,2021,4,219.0,283.0,233.0,1.0
IA,2021-04-14,2021,4,321.0,451.0,374.0,1.0
AK,2021-04-13,2021,4,47.0,145.0,63.0,0.0
NV,2021-04-13,2021,4,319.0,610.0,389.0,5.0
AK,2021-04-10,2021,4,49.0,124.0,65.0,0.0
WY,2021-04-10,2021,4,18.0,45.0,24.0,0.0
VT,2021-04-09,2021,4,30.0,83.0,38.0,0.0
DE,2021-04-08,2021,4,211.0,293.0,232.0,0.0
NH,2021-04-08,2021,4,108.0,212.0,133.0,1.0
ND,2021-04-07,2021,4,87.0,136.0,99.0,0.0
MA,2021-04-06,2021,4,688.0,1055.0,871.0,4.0
AK,2021-04-05,2021,4,45.0,133.0,60.0,0.0
DE,2021-04-04,2021,4,180.0,277.0,201.0,1.0
AK,2021-04-03,2021,4,40.0,132.0,53.0,0.0
NH,2021-04-03,2021,4,94.0,182.0,110.0,1.0
CT,2021-04-02,2021,4,555.0,811.0,669.0,4.0
ID,2021-04-02,2021,4,140.0,290.0,174.0,0.0
MT,2021-04-02,2021,4,45.0,132.0,55.0,0.0
AK,2021-04-01,2021,4,45.0,141.0,58.0,0.0
OR,2021-04-01,2021,4,225.0,581.0,273.0,1.0
WY,2021-04-01,2021,4,30.0,39.0,36.0,0.0
MN,2021-03-30,2021,3,517.0,1032.0,630.0,1.0
NV,2021-03-30,2021,3,265.0,603.0,340.0,4.0
MT,2021-03-29,2021,3,52.0,134.0,67.0,0.0
MS,2021-03-28,2021,3,292.0,706.0,395.0,3.0
AK,2021-03-27,2021,3,27.0,125.0,34.0,0.0
NE,2021-03-27,2021,3,117.0,364.0,151.0,0.0
MT,2021-03-26,2021,3,41.0,152.0,52.0,1.0
ND,2021-03-26,2021,3,79.0,129.0,89.0,0.0
ID,2021-03-24,2021,3,158.0,272.0,200.0,0.0
NH,2021-03-24,2021,3,93.0,211.0,112.0,0.0
MA,2021-03-17,2021,3,570.0,1070.0,740.0,5.0
KY,2021-02-23,2021,2,912.0,1205.0,1144.0,12.0
SD,2021-02-18,2021,2,90.0,156.0,102.0,1.0
NM,2021-02-13,2021,2,334.0,347.0,436.0,7.0
DE,2021-02-05,2021,2,293.0,251.0,323.0,2.0
MD,2021-02-02,2021,2,1707.0,1215.0,2085.0,22.0
MN,2021-01-26,2021,1,591.0,1001.0,695.0,25.0
KS,2021-01-20,2021,1,813.0,691.0,1003.0,15.0
RI,2021-01-20,2021,1,423.0,216.0,471.0,10.0
MT,2021-01-17,2021,1,181.0,153.0,210.0,3.0
AL,2021-01-13,2021,1,3340.0,1630.0,4205.0,65.0
NE,2021-01-13,2021,1,486.0,369.0,615.0,6.0
NV,2021-01-13,2021,1,1817.0,791.0,2209.0,26.0
RI,2021-01-10,2021,1,449.0,205.0,498.0,8.0
ME,2021-01-09,2021,1,242.0,308.0,308.0,3.0
PR,2021-01-08,2021,1,458.0,416.0,534.0,61.0
SD,2021-01-07,2021,1,247.0,188.0,306.0,2.0
PR,2021-01-06,2021,1,442.0,430.0,506.0,5.0
PR,2021-01-01,2021,1,444.0,411.0,520.0,6.0
RI,2020-12-31,2020,12,483.0,205.0,542.0,6.0
LA,2020-12-30,2020,12,1619.0,1459.0,2047.0,20.0
RI,2020-12-30,2020,12,471.0,216.0,530.0,9.0
SD,2020-12-29,2020,12,291.0,173.0,348.0,1.0
VI,2022-08-04,2022,8,6.0,5.0,6.0,0.0
VI,2022-08-03,2022,8,6.0,5.0,6.0,0.0
AS,2022-08-02,2022,8,2.0,2.0,2.0,0.0
VI,2022-08-01,2022,8,6.0,7.0,6.0,0.0
AS,2022-07-31,2022,7,1.0,3.0,1.0,0.0
VI,2022-07-31,2022,7,8.0,8.0,8.0,0.0
AS,2022-07-30,2022,7,2.0,2.0,2.0,0.0
VI,2022-07-30,2022,7,9.0,8.0,10.0,0.0
VI,2022-07-29,2022,7,13.0,8.0,15.0,0.0
AS,2022-07-28,2022,7,5.0,3.0,5.0,0.0
VI,2022-07-27,2022,7,7.0,7.0,8.0,0.0
VI,2022-07-26,2022,7,6.0,7.0,7.0,0.0
AS,2022-07-25,2022,7,4.0,4.0,4.0,0.0
VI,2022-07-24,2022,7,3.0,6.0,3.0,0.0
AS,2022-07-23,2022,7,3.0,4.0,3.0,0.0
VI,2022-07-23,2022,7,3.0,8.0,3.0,0.0
AS,2022-07-22,2022,7,6.0,4.0,6.0,0.0
VI,2022-07-22,2022,7,2.0,2.0,2.0,0.0
AS,2022-07-21,2022,7,5.0,5.0,5.0,0.0
VI,2022-07-21,2022,7,2.0,1.0,2.0,0.0
AS,2022-07-20,2022,7,7.0,3.0,7.0,0.0
VI,2022-07-19,2022,7,10.0,7.0,10.0,0.0
AS,2022-07-18,2022,7,9.0,2.0,9.0,0.0
VI,2022-07-18,2022,7,7.0,9.0,7.0,0.0
AS,2022-07-17,2022,7,7.0,3.0,7.0,0.0
VI,2022-07-16,2022,7,5.0,5.0,5.0,0.0
VI,2022-07-15,2022,7,6.0,5.0,6.0,0.0
VI,2022-07-14,2022,7,8.0,3.0,8.0,0.0
VI,2022-07-13,2022,7,9.0,4.0,9.0,0.0
AS,2022-07-12,2022,7,11.0,1.0,11.0,0.0
VI,2022-07-11,2022,7,13.0,6.0,15.0,0.0
AS,2022-07-10,2022,7,10.0,2.0,10.0,0.0
VI,2022-07-10,2022,7,11.0,6.0,12.0,0.0
AS,2022-07-09,2022,7,9.0,3.0,9.0,0.0
VI,2022-07-08,2022,7,8.0,5.0,10.0,0.0
AS,2022-07-07,2022,7,7.0,4.0,7.0,0.0
VI,2022-07-07,2022,7,5.0,5.0,7.0,0.0
AS,2022-07-06,2022,7,8.0,4.0,8.0,0.0
VI,2022-07-06,2022,7,5.0,5.0,7.0,0.0
AS,2022-07-05,2022,7,6.0,5.0,6.0,0.0
VI,2022-07-05,2022,7,3.0,5.0,5.0,0.0
AS,2022-07-04,2022,7,6.0,5.0,6.0,0.0
VI,2022-07-03,2022,7,2.0,6.0,3.0,0.0
VI,2022-07-02,2022,7,2.0,10.0,3.0,0.0
AS,2022-07-01,2022,7,2.0,2.0,2.0,0.0
VI,2022-06-30,2022,6,1.0,9.0,2.0,0.0
AS,2022-06-29,2022,6,4.0,3.0,4.0,0.0
VI,2022-06-29,2022,6,2.0,7.0,3.0,0.0
AS,2022-06-28,2022,6,3.0,3.0,3.0,0.0
VI,2022-06-28,2022,6,2.0,8.0,2.0,0.0
AS,2022-06-27,2022,6,2.0,2.0,2.0,0.0
VI,2022-06-27,2022,6,3.0,10.0,4.0,0.0
AS,2022-06-26,2022,6,2.0,3.0,2.0,0.0
UT,2022-06-25,2022,6,228.0,374.0,263.0,0.0
AS,2022-06-24,2022,6,1.0,1.0,1.0,0.0
VI,2022-06-24,2022,6,2.0,10.0,2.0,0.0
AS,2022-06-23,2022,6,1.0,2.0,1.0,0.0
VI,2022-06-22,2022,6,3.0,9.0,3.0,0.0
AS,2022-06-21,2022,6,1.0,2.0,1.0,0.0
VT,2022-06-21,2022,6,14.0,78.0,16.0,0.0
AS,2022-06-20,2022,6,1.0,2.0,1.0,0.0
WV,2022-06-20,2022,6,217.0,567.0,243.0,0.0
AS,2022-06-19,2022,6,2.0,0.0,2.0,0.0
VI,2022-06-19,2022,6,7.0,11.0,7.0,0.0
AS,2022-06-18,2022,6,2.0,0.0,2.0,0.0
AK,2022-06-16,2022,6,63.0,133.0,65.0,0.0
AS,2022-06-16,2022,6,3.0,0.0,3.0,0.0
VI,2022-06-16,2022,6,8.0,7.0,8.0,0.0
AS,2022-06-15,2022,6,1.0,1.0,1.0,0.0
VI,2022-06-14,2022,6,11.0,7.0,12.0,0.0
AS,2022-06-13,2022,6,3.0,4.0,3.0,0.0
VI,2022-06-13,2022,6,12.0,7.0,13.0,0.0
AS,2022-06-12,2022,6,3.0,5.0,3.0,0.0
VT,2022-06-12,2022,6,29.0,72.0,35.0,0.0
VI,2022-06-11,2022,6,10.0,9.0,10.0,0.0
AS,2022-06-10,2022,6,1.0,5.0,1.0,0.0
VI,2022-06-09,2022,6,12.0,9.0,12.0,0.0
AS,2022-06-08,2022,6,0.0,2.0,0.0,0.0
VI,2022-06-08,2022,6,10.0,9.0,10.0,0.0
AS,2022-06-07,2022,6,0.0,1.0,0.0,0.0
VI,2022-06-06,2022,6,8.0,11.0,9.0,0.0
AS,2022-06-05,2022,6,1.0,4.0,1.0,0.0
VI,2022-06-05,2022,6,11.0,8.0,12.0,0.0
AS,2022-06-04,2022,6,1.0,2.0,1.0,0.0
VI,2022-06-04,2022,6,12.0,11.0,13.0,0.0
AS,2022-06-03,2022,6,0.0,3.0,0.0,0.0
VI,2022-06-03,2022,6,15.0,10.0,16.0,0.0
AS,2022-06-02,2022,6,1.0,5.0,1.0,0.0
VI,2022-06-01,2022,6,14.0,9.0,15.0,0.0
AS,2022-05-31,2022,5,0.0,6.0,0.0,0.0
VI,2022-05-31,2022,5,11.0,12.0,12.0,0.0
AK,2022-05-30,2022,5,45.0,117.0,55.0,0.0
VI,2022-05-29,2022,5,11.0,11.0,12.0,0.0
AS,2022-05-28,2022,5,0.0,5.0,0.0,0.0
VI,2022-05-28,2022,5,13.0,11.0,14.0,0.0
AS,2022-05-27,2022,5,1.0,5.0,1.0,0.0
VT,2022-05-27,2022,5,55.0,68.0,59.0,0.0
VI,2022-05-26,2022,5,15.0,11.0,16.0,0.0
AS,2022-05-25,2022,5,4.0,3.0,4.0,0.0
VI,2022-05-24,2022,5,14.0,12.0,15.0,0.0
AS,2022-05-23,2022,5,1.0,4.0,1.0,0.0
VI,2022-05-23,2022,5,12.0,13.0,13.0,0.0
AS,2022-05-22,2022,5,0.0,4.0,0.0,0.0
VI,2022-05-21,2022,5,15.0,14.0,17.0,0.0
AS,2022-05-20,2022,5,0.0,2.0,0.0,0.0
VI,2022-05-20,2022,5,13.0,13.0,15.0,0.0
WY,2022-05-20,2022,5,11.0,43.0,11.0,0.0
VI,2022-05-19,2022,5,13.0,12.0,15.0,0.0
AS,2022-05-18,2022,5,0.0,2.0,0.0,0.0
VI,2022-05-18,2022,5,16.0,13.0,19.0,0.0
AS,2022-05-17,2022,5,0.0,0.0,0.0,0.0
VT,2022-05-16,2022,5,68.0,70.0,75.0,0.0
AS,2022-05-15,2022,5,0.0,0.0,0.0,0.0
VI,2022-05-15,2022,5,16.0,13.0,18.0,0.0
WY,2022-05-15,2022,5,10.0,37.0,10.0,0.0
VI,2022-05-13,2022,5,18.0,11.0,21.0,0.0
AS,2022-05-12,2022,5,1.0,0.0,1.0,0.0
VI,2022-05-12,2022,5,17.0,13.0,18.0,0.0
AS,2022-05-11,2022,5,1.0,1.0,1.0,0.0
VI,2022-05-11,2022,5,11.0,13.0,12.0,0.0
AS,2022-05-10,2022,5,3.0,1.0,3.0,0.0
VI,2022-05-10,2022,5,14.0,10.0,15.0,0.0
AK,2022-05-09,2022,5,42.0,109.0,56.0,0.0
VI,2022-05-08,2022,5,13.0,10.0,15.0,0.0
AS,2022-05-07,2022,5,3.0,4.0,3.0,0.0
VI,2022-05-07,2022,5,11.0,8.0,12.0,0.0
AS,2022-05-06,2022,5,3.0,5.0,3.0,0.0
VI,2022-05-05,2022,5,11.0,10.0,12.0,0.0
AS,2022-05-04,2022,5,3.0,7.0,3.0,0.0
VI,2022-05-04,2022,5,12.0,9.0,13.0,0.0
AS,2022-05-03,2022,5,3.0,7.0,3.0,0.0
